step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
699,CASH_IN,3333.57,C158,13567.01,10452.87,M158,11040.09,7497.23,0
243,PAYMENT,4388.6,C159,15279.94,6899.24,M159,4223.21,15137.94,0
86,PAYMENT,2634.31,C160,19838.53,2096.08,M160,532.63,5901.4,0
578,TRANSFER,1655.53,C161,6907.93,19165.97,M161,14387.12,2341.88,0
682,CASH_IN,6894.54,C162,8220.82,17093.48,M162,400.1,5150.71,0
557,PAYMENT,5150.57,C163,3312.4,1569.85,M163,19468.05,7746.89,0
574,CASH_IN,2009.54,C164,4081.46,14395.75,M164,4432.15,1044.09,0
646,CASH_IN,3202.7,C165,13867.9,6951.6,M165,13278.0,9573.61,0
28,TRANSFER,5922.16,C166,18340.91,19897.0,M166,8695.03,14800.15,0
620,CASH_IN,731.57,C167,7892.1,6047.97,M167,1193.48,10274.9,0
556,CASH_OUT,1483.06,C168,3596.89,4774.77,M168,9443.67,1437.91,0
340,CASH_OUT,741.72,C169,5701.99,11357.81,M169,10335.21,8802.99,0
331,DEBIT,8125.05,C170,9101.03,16702.52,M170,17093.66,14178.09,0
640,TRANSFER,7526.57,C171,5813.01,3850.38,M171,14646.98,1161.93,0
506,DEBIT,7535.6,C172,4671.58,14188.06,M172,1586.05,1196.94,1
348,CASH_OUT,7166.09,C173,14719.69,1228.13,M173,4183.25,7412.03,0
473,DEBIT,6697.16,C174,156.9,18378.69,M174,6237.75,3899.28,0
231,TRANSFER,4775.15,C175,10784.61,1621.5,M175,2328.15,18695.62,0
190,TRANSFER,6426.36,C176,15875.34,18284.63,M176,9137.98,11626.87,0
225,CASH_IN,393.23,C177,5324.57,9816.14,M177,19686.18,5746.51,0
385,PAYMENT,6218.43,C178,12065.83,8961.82,M178,10292.26,14095.53,0
377,CASH_IN,7781.0,C179,13378.0,19466.14,M179,14837.64,7498.58,0
283,TRANSFER,5008.58,C180,13100.49,19807.68,M180,13658.76,2642.31,0
633,CASH_OUT,3581.56,C181,8916.99,13003.56,M181,16998.23,4744.64,0
628,CASH_OUT,2781.49,C182,6931.56,2542.39,M182,4314.47,12854.95,0
259,CASH_IN,6431.59,C183,16718.48,10123.4,M183,15076.53,1037.52,0
359,TRANSFER,6931.08,C184,15168.92,10583.26,M184,17627.1,5453.78,0
710,CASH_OUT,8710.97,C185,6425.1,10288.93,M185,3430.2,4166.23,0
456,TRANSFER,3429.92,C186,2060.38,11389.84,M186,6936.04,4022.7,0
411,CASH_OUT,7700.03,C187,1436.15,374.49,M187,19402.04,13655.25,0
649,TRANSFER,5617.94,C188,1885.52,14224.55,M188,15615.76,16516.34,0
318,DEBIT,8829.54,C189,11657.39,14247.89,M189,5651.82,14317.33,0
677,TRANSFER,5282.84,C190,1033.24,2309.4,M190,11278.84,12914.56,0
225,TRANSFER,5181.12,C191,6738.54,11404.79,M191,8086.52,18329.04,0
234,CASH_IN,5782.99,C192,15063.99,11367.22,M192,9799.3,1167.85,0
684,DEBIT,7495.66,C193,5886.96,13649.01,M193,7103.32,3349.66,0
664,PAYMENT,9647.26,C194,15266.16,1707.95,M194,5586.62,8288.14,0
374,CASH_IN,744.9,C195,14909.34,12530.07,M195,13495.26,7449.03,0
672,PAYMENT,543.81,C196,4916.54,5615.04,M196,15570.84,8361.03,0
608,CASH_OUT,9376.13,C197,14576.44,10140.06,M197,17479.14,4129.1,0
472,PAYMENT,5303.46,C198,14955.53,15466.47,M198,3106.6,2990.07,0
233,TRANSFER,6152.88,C199,7949.08,14112.92,M199,16457.11,10183.86,0
692,PAYMENT,4829.41,C200,4208.41,2378.06,M200,5096.02,18561.05,0
113,CASH_IN,945.64,C201,10425.42,11823.7,M201,8546.73,7839.39,0
497,CASH_IN,7683.21,C202,18427.95,19382.33,M202,18028.87,867.06,0
442,PAYMENT,7474.77,C203,12792.33,3135.39,M203,9090.07,14123.35,0
564,CASH_IN,3123.92,C204,3458.45,17058.14,M204,3941.27,5822.1,0
268,CASH_IN,3069.33,C205,13655.14,14050.96,M205,3197.37,4901.9,0
510,PAYMENT,8380.04,C206,8544.06,15480.07,M206,9459.68,6485.16,0
386,DEBIT,732.85,C207,11830.58,5639.17,M207,15253.45,14476.31,0
387,DEBIT,8812.24,C208,14681.28,5757.78,M208,19944.1,16376.39,0
113,CASH_OUT,2574.05,C209,10298.95,18120.39,M209,15748.17,11761.12,1
613,CASH_IN,5933.92,C210,16279.68,7196.64,M210,17540.24,6449.58,0
625,PAYMENT,9360.58,C211,14443.11,1260.31,M211,14956.65,6209.56,0
81,CASH_IN,6784.44,C212,12301.47,12011.93,M212,17908.7,2486.17,0
699,TRANSFER,4150.15,C213,3015.86,2496.35,M213,1525.87,18666.02,0
113,CASH_IN,6898.45,C214,16718.98,15931.92,M214,18598.63,12762.79,0
2,CASH_IN,3446.36,C215,18718.11,12834.93,M215,7928.12,539.49,0
642,DEBIT,2779.81,C216,2739.3,17494.53,M216,18432.28,13247.34,0
220,PAYMENT,9966.87,C217,9764.82,15696.74,M217,1514.66,8943.07,0
566,CASH_IN,7510.39,C218,5177.77,2242.27,M218,14304.86,19451.16,0
736,DEBIT,6450.75,C219,15090.47,7621.41,M219,14713.77,16381.38,0
225,CASH_OUT,3559.34,C220,14432.59,15491.2,M220,19938.22,3426.32,0
385,DEBIT,501.12,C221,2817.7,8346.83,M221,15377.11,14402.22,0
403,DEBIT,320.26,C222,17540.55,19447.31,M222,7651.47,9711.32,0
638,DEBIT,5546.27,C223,3619.46,14714.81,M223,11144.97,3740.9,0
130,CASH_IN,7622.71,C224,15945.18,310.0,M224,7331.02,13974.8,0
53,CASH_IN,5378.42,C225,9139.61,17599.71,M225,3920.37,10947.75,0
684,CASH_OUT,8409.44,C226,6565.45,2016.1,M226,4970.05,607.48,0
730,TRANSFER,343.93,C227,3164.79,2810.47,M227,4440.21,12931.76,0
672,TRANSFER,3673.85,C228,3352.29,14689.85,M228,10976.31,12699.74,0
710,TRANSFER,2378.33,C229,13237.81,17299.37,M229,18123.21,2881.7,0
416,CASH_OUT,4478.26,C230,11008.61,10726.99,M230,18254.53,6979.75,0
247,TRANSFER,733.04,C231,2441.71,5780.99,M231,1095.28,11717.98,0
439,TRANSFER,9541.78,C232,2253.96,7026.31,M232,1597.99,2775.66,0
203,DEBIT,2240.32,C233,1446.21,6857.79,M233,4902.38,17054.47,0
184,CASH_IN,9223.85,C234,14875.35,6533.56,M234,5101.19,549.72,0
123,CASH_IN,4264.67,C235,14237.64,4858.19,M235,1897.78,2056.75,0
401,DEBIT,9855.39,C236,1168.62,12177.34,M236,7769.27,2322.14,0
294,DEBIT,5545.04,C237,11205.4,18008.11,M237,11754.51,10562.14,0
280,DEBIT,9309.02,C238,1693.52,6141.65,M238,11563.24,12402.28,0
610,CASH_IN,63.44,C239,18074.92,3733.89,M239,10868.59,8074.82,0
198,TRANSFER,7484.91,C240,18142.35,16771.55,M240,6773.44,5773.34,0
511,DEBIT,9031.48,C241,13964.66,14835.67,M241,14129.11,16186.35,0
144,CASH_OUT,1405.81,C242,18523.78,18616.74,M242,16529.68,1365.72,0
609,DEBIT,970.3,C243,16229.06,3310.39,M243,6925.49,5605.84,0
201,PAYMENT,4251.48,C244,16570.77,2885.03,M244,1710.71,782.31,0
124,DEBIT,9337.45,C245,11394.16,10828.59,M245,5926.61,277.8,0
187,CASH_IN,5428.44,C246,6121.18,12288.67,M246,2747.37,7067.6,0
326,DEBIT,5279.29,C247,4355.98,9603.47,M247,9347.17,3896.47,0
464,PAYMENT,1419.85,C248,6544.0,11979.33,M248,3118.7,5367.32,0
349,CASH_OUT,17.89,C249,12569.91,3607.6,M249,9256.9,16418.94,0
660,TRANSFER,8103.3,C250,3453.13,9592.28,M250,4420.06,3259.6,0
403,DEBIT,884.87,C251,5172.8,13161.85,M251,14774.62,15604.67,0
346,PAYMENT,6342.16,C252,9361.22,8654.13,M252,551.36,13501.01,0
511,PAYMENT,9147.02,C253,4661.0,13588.95,M253,11094.93,6528.91,0
147,CASH_OUT,2094.43,C254,11772.87,9023.83,M254,3389.77,10931.12,0
148,CASH_IN,6656.08,C255,18463.52,6671.99,M255,19.84,8888.71,0
711,DEBIT,796.2,C256,14961.79,6072.1,M256,17384.0,2567.91,0
489,PAYMENT,6041.51,C257,13328.53,8218.04,M257,13430.56,18143.71,0
640,CASH_OUT,1647.68,C258,11654.43,461.79,M258,1978.86,11392.36,0
551,TRANSFER,7362.18,C259,9758.96,13370.5,M259,13281.45,17604.8,0
338,PAYMENT,3019.3,C260,3731.28,16902.11,M260,12232.95,16476.53,0
641,CASH_OUT,4639.28,C261,17894.21,7092.54,M261,9467.13,1595.52,0
473,CASH_IN,5998.31,C262,4970.72,920.66,M262,8385.16,4145.41,0
151,CASH_IN,1721.02,C263,1826.18,19735.51,M263,17741.4,2905.22,0
415,PAYMENT,7418.96,C264,15000.3,5273.97,M264,4902.96,16615.59,0
298,PAYMENT,3033.38,C265,3512.31,2532.42,M265,7966.2,17248.93,0
611,DEBIT,6627.09,C266,7437.92,7395.05,M266,6582.31,10559.43,0
263,CASH_OUT,1591.25,C267,565.7,14771.14,M267,15424.02,2083.56,0
144,PAYMENT,6884.3,C268,2741.36,5878.33,M268,18329.31,2712.33,0
346,DEBIT,1290.6,C269,3464.07,11494.06,M269,16995.63,16270.98,0
624,DEBIT,4259.31,C270,1088.2,8311.2,M270,15954.08,18583.8,0
572,PAYMENT,2479.59,C271,13133.14,2355.28,M271,19735.8,3989.51,0
2,CASH_IN,7486.27,C272,16740.16,6605.74,M272,13942.89,222.75,0
304,CASH_OUT,2627.73,C273,7466.31,14497.41,M273,15021.08,6619.06,0
254,CASH_OUT,8818.36,C274,17491.53,12240.08,M274,19656.05,609.99,0
652,CASH_IN,8919.28,C275,4266.93,2395.57,M275,139.82,16559.5,0
453,PAYMENT,1972.45,C276,6507.81,3266.45,M276,12680.97,9830.25,0
37,CASH_OUT,6142.32,C277,3014.74,12814.67,M277,14779.43,12837.22,0
160,PAYMENT,886.3,C278,12411.18,16268.31,M278,18356.54,8229.7,0
9,PAYMENT,3921.46,C279,8397.39,6989.49,M279,17676.89,6910.15,0
233,DEBIT,7136.08,C280,12265.67,11906.22,M280,16839.21,4444.01,0
99,CASH_IN,6597.64,C281,15233.5,3412.87,M281,18915.83,15410.65,0
659,PAYMENT,6250.76,C282,10914.06,6227.53,M282,10747.58,13910.95,0
208,TRANSFER,2832.58,C283,12552.61,405.4,M283,138.4,7214.58,0
131,CASH_IN,3786.47,C284,18705.01,15365.52,M284,221.09,6422.32,0
404,CASH_OUT,1038.43,C285,5981.29,8020.2,M285,10892.78,24.86,0
152,DEBIT,7193.04,C286,7183.28,16322.51,M286,8705.44,1271.04,0
54,CASH_OUT,5043.85,C287,14354.07,14167.46,M287,9024.9,12465.11,0
120,CASH_OUT,7090.57,C288,12226.11,16574.89,M288,8008.09,10292.15,0
673,CASH_IN,2496.95,C289,3570.66,5713.17,M289,18354.52,8696.06,0
628,CASH_OUT,3251.14,C290,7522.95,3702.17,M290,7183.41,16550.04,0
587,PAYMENT,3348.81,C291,9356.76,19438.11,M291,17124.54,10077.96,0
625,CASH_OUT,267.17,C292,8387.8,14346.56,M292,18057.3,7689.87,0
420,DEBIT,3417.07,C293,3565.5,16680.85,M293,9990.04,3225.13,0
422,DEBIT,8035.01,C294,18488.6,262.67,M294,8938.76,16413.76,0
104,TRANSFER,8974.01,C295,15246.38,7089.23,M295,15220.41,11524.97,0
254,DEBIT,5187.0,C296,9627.12,14856.33,M296,14159.43,1849.2,0
227,CASH_OUT,4560.46,C297,13601.22,1559.66,M297,6570.7,12977.97,0
112,DEBIT,317.94,C298,17945.65,11346.8,M298,2050.96,8501.41,0
510,CASH_IN,8793.25,C299,2723.48,8581.46,M299,5297.05,16227.72,0
473,DEBIT,139.97,C300,5007.46,352.33,M300,2620.57,18378.29,0
99,PAYMENT,9448.05,C301,10854.02,4719.51,M301,5894.65,12009.32,0
153,CASH_IN,4897.27,C302,15980.21,5695.84,M302,5236.43,14632.26,0
338,TRANSFER,3425.93,C303,725.1,2237.2,M303,12754.23,1131.82,0
706,PAYMENT,9242.94,C304,19680.36,12630.74,M304,19089.92,11205.11,0
163,CASH_OUT,253.67,C305,9098.13,4847.96,M305,13714.87,15106.8,0
720,CASH_OUT,5818.43,C306,7184.62,5552.39,M306,18532.99,9935.24,0
681,CASH_OUT,5493.84,C307,5854.49,17964.77,M307,15682.65,11871.0,0
161,PAYMENT,2201.01,C308,3487.13,9342.46,M308,14557.55,17978.96,0
580,PAYMENT,4294.59,C309,15831.48,7842.56,M309,8281.24,3961.99,0
398,PAYMENT,6526.12,C310,19108.28,14477.42,M310,6495.89,1964.93,0
277,CASH_IN,7274.04,C311,8272.9,18192.28,M311,16925.55,13812.87,0
504,CASH_IN,17.16,C312,19048.41,500.73,M312,18107.86,16456.98,0
392,CASH_OUT,9369.17,C313,16475.95,8964.78,M313,9037.65,17009.8,0
135,DEBIT,1653.61,C314,9621.02,12215.63,M314,181.26,12832.89,0
195,CASH_OUT,2343.47,C315,13480.52,6371.26,M315,15850.62,16664.27,0
401,TRANSFER,2642.1,C316,8699.68,15448.15,M316,5701.38,14013.28,0
640,CASH_IN,387.82,C317,11174.47,19429.54,M317,197.76,1747.54,0
33,PAYMENT,1239.29,C318,1160.93,18868.55,M318,16099.77,15240.87,0
688,CASH_IN,9863.64,C319,13925.27,5319.65,M319,10348.28,3587.19,0
460,PAYMENT,3159.02,C320,1056.49,4526.77,M320,13704.21,4732.19,0
470,TRANSFER,1161.86,C321,16341.7,19149.81,M321,18293.8,7893.01,0
375,TRANSFER,1078.84,C322,16498.94,9172.57,M322,10823.48,6291.34,0
22,CASH_IN,7197.41,C323,4741.55,4165.95,M323,10063.88,6433.03,0
670,PAYMENT,8547.14,C324,6473.26,14139.94,M324,5813.24,3385.19,0
38,TRANSFER,2576.95,C325,9626.21,5688.41,M325,6103.88,5877.42,0
230,CASH_OUT,218.89,C326,11933.26,5344.94,M326,15930.84,393.25,0
365,CASH_OUT,2238.67,C327,5747.07,17584.98,M327,8980.58,9458.22,0
563,PAYMENT,574.59,C328,11849.73,3249.58,M328,3270.52,15371.82,0
438,CASH_IN,1042.92,C329,5955.74,1287.86,M329,1890.58,17244.95,0
283,TRANSFER,4320.77,C330,1109.81,5383.73,M330,9458.4,16408.57,0
27,CASH_IN,2306.88,C331,50.55,12138.91,M331,9299.1,8329.15,0
